bar_index,prob_high_set_exact,prob_low_set_exact,prob_either_set_exact,prob_high_set_offset_5,prob_low_set_offset_5,prob_either_set_offset_5
1,0.0,0.4,0.4,0.01,0.43,0.44
2,0.07,0.4,0.47,0.11,0.43,0.54
3,0.09,0.4,0.49,0.11,0.43,0.54
4,0.11,0.41,0.53,0.16,0.44,0.6
5,0.14,0.43,0.57,0.2,0.44,0.63
6,0.17,0.43,0.6,0.23,0.44,0.66
7,0.17,0.43,0.6,0.23,0.46,0.67
8,0.17,0.43,0.6,0.24,0.46,0.69
9,0.19,0.44,0.61,0.26,0.46,0.69
10,0.21,0.47,0.67,0.3,0.49,0.74
11,0.21,0.49,0.69,0.3,0.5,0.76
12,0.21,0.49,0.69,0.3,0.5,0.76
13,0.23,0.5,0.71,0.3,0.53,0.79
14,0.24,0.51,0.74,0.31,0.53,0.79
15,0.24,0.51,0.74,0.33,0.53,0.79
16,0.26,0.54,0.77,0.33,0.56,0.8
17,0.26,0.54,0.77,0.33,0.56,0.8
18,0.27,0.54,0.77,0.33,0.56,0.8
19,0.3,0.54,0.79,0.36,0.56,0.81
20,0.3,0.56,0.79,0.36,0.57,0.81
21,0.31,0.56,0.79,0.36,0.57,0.81
22,0.31,0.56,0.79,0.36,0.59,0.81
23,0.34,0.57,0.81,0.39,0.61,0.84
24,0.36,0.6,0.81,0.4,0.63,0.84
25,0.36,0.61,0.81,0.4,0.63,0.84
26,0.36,0.63,0.83,0.4,0.64,0.86
27,0.37,0.63,0.84,0.4,0.64,0.86
28,0.37,0.64,0.86,0.4,0.66,0.87
29,0.37,0.64,0.86,0.4,0.66,0.87
30,0.39,0.64,0.87,0.41,0.66,0.89
31,0.39,0.64,0.87,0.43,0.66,0.89
32,0.39,0.64,0.87,0.43,0.66,0.89
33,0.39,0.66,0.89,0.46,0.67,0.9
34,0.41,0.67,0.89,0.46,0.69,0.9
35,0.41,0.67,0.89,0.47,0.7,0.9
36,0.43,0.69,0.9,0.47,0.7,0.9
37,0.47,0.69,0.91,0.53,0.7,0.93
38,0.5,0.69,0.93,0.53,0.7,0.93
39,0.5,0.69,0.93,0.53,0.7,0.93
40,0.5,0.69,0.93,0.53,0.7,0.93
41,0.51,0.69,0.93,0.54,0.71,0.93
42,0.53,0.7,0.94,0.56,0.71,0.94
43,0.53,0.7,0.94,0.57,0.71,0.96
44,0.53,0.71,0.94,0.57,0.73,0.96
45,0.53,0.71,0.94,0.6,0.73,0.97
46,0.57,0.71,0.97,0.6,0.73,0.97
47,0.57,0.73,0.97,0.6,0.76,0.97
48,0.57,0.74,0.97,0.6,0.76,0.97
49,0.59,0.74,0.97,0.6,0.76,0.97
50,0.59,0.74,0.97,0.6,0.76,0.97
51,0.59,0.77,0.97,0.61,0.8,0.97
52,0.59,0.79,0.97,0.63,0.8,0.97
53,0.6,0.79,0.99,0.64,0.8,0.99
54,0.6,0.79,0.99,0.64,0.8,0.99
55,0.6,0.79,0.99,0.64,0.8,0.99
56,0.6,0.79,0.99,0.66,0.8,0.99
57,0.61,0.79,0.99,0.67,0.8,0.99
58,0.63,0.79,0.99,0.67,0.8,0.99
59,0.63,0.79,0.99,0.67,0.8,0.99
60,0.64,0.79,0.99,0.69,0.8,0.99
61,0.67,0.8,0.99,0.71,0.81,0.99
62,0.69,0.8,0.99,0.71,0.83,0.99
63,0.71,0.81,0.99,0.71,0.83,0.99
64,0.71,0.83,0.99,0.73,0.84,1.0
65,0.73,0.84,1.0,0.73,0.86,1.0
66,0.74,0.84,1.0,0.76,0.86,1.0
67,0.79,0.84,1.0,0.8,0.87,1.0
68,0.8,0.86,1.0,0.81,0.87,1.0
69,0.83,0.87,1.0,0.86,0.89,1.0
70,0.84,0.9,1.0,0.86,0.91,1.0
71,0.84,0.93,1.0,0.89,0.94,1.0
72,0.86,0.94,1.0,0.91,0.96,1.0
73,0.87,0.97,1.0,0.97,0.99,1.0
74,0.94,0.99,1.0,1.0,1.0,1.0
75,1.0,1.0,1.0,1.0,1.0,1.0
