bar_index,prob_high_set_exact,prob_low_set_exact,prob_either_set_exact,prob_high_set_offset_10,prob_low_set_offset_10,prob_either_set_offset_10
1,0.26,0.13,0.4,0.37,0.21,0.57
2,0.3,0.19,0.49,0.41,0.26,0.65
3,0.31,0.2,0.52,0.42,0.29,0.69
4,0.34,0.24,0.57,0.45,0.35,0.75
5,0.36,0.26,0.6,0.46,0.36,0.76
6,0.38,0.28,0.64,0.49,0.37,0.79
7,0.38,0.29,0.65,0.49,0.39,0.81
8,0.39,0.29,0.66,0.49,0.39,0.81
9,0.4,0.31,0.69,0.51,0.4,0.82
10,0.4,0.32,0.7,0.52,0.42,0.85
11,0.41,0.34,0.72,0.52,0.43,0.86
12,0.42,0.34,0.73,0.52,0.44,0.86
13,0.43,0.34,0.74,0.53,0.44,0.87
14,0.43,0.34,0.74,0.54,0.44,0.87
15,0.43,0.35,0.74,0.55,0.46,0.88
16,0.44,0.36,0.76,0.55,0.46,0.88
17,0.45,0.37,0.78,0.56,0.47,0.88
18,0.45,0.38,0.78,0.56,0.48,0.88
19,0.46,0.4,0.8,0.58,0.49,0.9
20,0.47,0.4,0.81,0.58,0.49,0.91
21,0.48,0.41,0.81,0.59,0.51,0.91
22,0.48,0.42,0.82,0.59,0.51,0.91
23,0.49,0.42,0.83,0.59,0.51,0.92
24,0.51,0.42,0.84,0.6,0.52,0.93
25,0.51,0.43,0.85,0.6,0.54,0.93
26,0.52,0.43,0.85,0.6,0.54,0.93
27,0.52,0.44,0.86,0.61,0.54,0.93
28,0.53,0.44,0.86,0.61,0.54,0.93
29,0.53,0.45,0.87,0.62,0.54,0.93
30,0.53,0.45,0.87,0.63,0.54,0.93
31,0.54,0.46,0.89,0.63,0.55,0.94
32,0.55,0.46,0.9,0.65,0.55,0.95
33,0.56,0.47,0.91,0.65,0.56,0.96
34,0.56,0.47,0.91,0.66,0.56,0.96
35,0.58,0.48,0.92,0.67,0.57,0.97
36,0.58,0.49,0.92,0.68,0.57,0.97
37,0.59,0.49,0.93,0.68,0.58,0.97
38,0.6,0.49,0.93,0.68,0.59,0.97
39,0.6,0.5,0.93,0.68,0.59,0.97
40,0.61,0.5,0.93,0.69,0.59,0.97
41,0.61,0.5,0.94,0.7,0.59,0.97
42,0.61,0.5,0.94,0.7,0.6,0.97
43,0.62,0.5,0.94,0.7,0.61,0.97
44,0.62,0.51,0.94,0.7,0.61,0.97
45,0.62,0.51,0.94,0.71,0.61,0.97
46,0.63,0.51,0.94,0.71,0.62,0.98
47,0.63,0.52,0.95,0.71,0.62,0.98
48,0.63,0.53,0.95,0.72,0.64,0.99
49,0.63,0.54,0.96,0.72,0.64,0.99
50,0.64,0.54,0.96,0.73,0.64,0.99
51,0.65,0.54,0.96,0.73,0.64,0.99
52,0.65,0.55,0.96,0.73,0.64,0.99
53,0.65,0.55,0.96,0.73,0.64,0.99
54,0.66,0.55,0.96,0.73,0.65,0.99
55,0.67,0.56,0.96,0.74,0.65,0.99
56,0.68,0.57,0.97,0.75,0.66,0.99
57,0.68,0.58,0.97,0.75,0.66,0.99
58,0.69,0.58,0.97,0.76,0.68,0.99
59,0.7,0.6,0.97,0.77,0.69,0.99
60,0.7,0.61,0.97,0.77,0.7,0.99
61,0.71,0.63,0.98,0.78,0.71,0.99
62,0.73,0.63,0.98,0.81,0.71,0.99
63,0.74,0.64,0.98,0.83,0.72,0.99
64,0.75,0.66,0.98,0.86,0.73,0.99
65,0.77,0.66,0.98,0.87,0.74,0.99
66,0.79,0.69,0.98,0.87,0.76,0.99
67,0.8,0.72,0.98,0.88,0.78,0.99
68,0.8,0.73,0.98,0.89,0.79,0.99
69,0.81,0.74,0.99,0.9,0.81,1.0
70,0.86,0.77,1.0,0.93,0.85,1.0
71,0.88,0.8,1.0,0.94,0.9,1.0
72,0.89,0.84,1.0,0.97,0.94,1.0
73,0.91,0.88,1.0,0.98,0.96,1.0
74,0.95,0.93,1.0,0.99,0.99,1.0
75,1.0,1.0,1.0,1.0,1.0,1.0
total_days,194.0,,,,,
