bar_index,prob_high_set_exact,prob_low_set_exact,prob_either_set_exact,prob_high_set_offset_10,prob_low_set_offset_10,prob_either_set_offset_10
1,0.35,0.07,0.42,0.43,0.15,0.58
2,0.36,0.14,0.5,0.46,0.22,0.66
3,0.36,0.15,0.52,0.47,0.26,0.7
4,0.38,0.19,0.57,0.47,0.32,0.74
5,0.38,0.22,0.59,0.47,0.34,0.75
6,0.4,0.25,0.64,0.5,0.36,0.78
7,0.4,0.26,0.64,0.5,0.36,0.79
8,0.4,0.26,0.64,0.5,0.37,0.8
9,0.41,0.29,0.68,0.52,0.38,0.81
10,0.41,0.29,0.68,0.53,0.4,0.83
11,0.41,0.3,0.68,0.53,0.41,0.85
12,0.43,0.3,0.7,0.53,0.42,0.85
13,0.44,0.3,0.71,0.55,0.42,0.86
14,0.44,0.31,0.72,0.56,0.42,0.86
15,0.44,0.31,0.72,0.57,0.44,0.87
16,0.46,0.33,0.75,0.57,0.45,0.87
17,0.47,0.35,0.77,0.58,0.45,0.87
18,0.48,0.35,0.77,0.58,0.45,0.87
19,0.5,0.36,0.8,0.61,0.46,0.9
20,0.51,0.36,0.81,0.61,0.47,0.91
21,0.52,0.37,0.81,0.62,0.47,0.92
22,0.52,0.38,0.81,0.62,0.47,0.92
23,0.53,0.38,0.82,0.62,0.47,0.92
24,0.53,0.38,0.83,0.63,0.49,0.92
25,0.53,0.39,0.84,0.64,0.51,0.92
26,0.54,0.39,0.84,0.64,0.52,0.92
27,0.54,0.41,0.85,0.64,0.52,0.92
28,0.54,0.41,0.85,0.64,0.52,0.92
29,0.54,0.42,0.86,0.64,0.52,0.92
30,0.55,0.42,0.86,0.64,0.52,0.92
31,0.57,0.43,0.89,0.65,0.53,0.94
32,0.57,0.43,0.89,0.65,0.53,0.94
33,0.57,0.44,0.89,0.66,0.53,0.94
34,0.58,0.44,0.89,0.67,0.53,0.94
35,0.59,0.45,0.9,0.69,0.53,0.96
36,0.6,0.46,0.91,0.69,0.54,0.96
37,0.61,0.46,0.92,0.7,0.55,0.96
38,0.62,0.46,0.92,0.7,0.56,0.96
39,0.62,0.46,0.92,0.7,0.56,0.96
40,0.64,0.46,0.92,0.71,0.57,0.96
41,0.64,0.46,0.92,0.72,0.57,0.96
42,0.64,0.46,0.92,0.72,0.57,0.96
43,0.64,0.46,0.93,0.73,0.58,0.96
44,0.64,0.46,0.93,0.73,0.58,0.96
45,0.64,0.46,0.93,0.74,0.58,0.97
46,0.65,0.46,0.93,0.74,0.59,0.97
47,0.66,0.47,0.94,0.74,0.59,0.97
48,0.66,0.48,0.94,0.75,0.62,0.99
49,0.66,0.51,0.95,0.75,0.63,0.99
50,0.67,0.51,0.95,0.76,0.63,0.99
51,0.69,0.51,0.95,0.76,0.63,0.99
52,0.69,0.53,0.95,0.76,0.63,0.99
53,0.69,0.53,0.95,0.76,0.63,0.99
54,0.69,0.53,0.95,0.77,0.64,0.99
55,0.69,0.53,0.95,0.78,0.64,0.99
56,0.71,0.54,0.96,0.78,0.64,0.99
57,0.71,0.55,0.97,0.78,0.64,0.99
58,0.71,0.55,0.97,0.79,0.65,0.99
59,0.72,0.57,0.97,0.79,0.67,0.99
60,0.72,0.58,0.97,0.79,0.69,0.99
61,0.73,0.6,0.97,0.8,0.69,0.99
62,0.74,0.61,0.97,0.82,0.69,0.99
63,0.75,0.62,0.97,0.82,0.69,0.99
64,0.75,0.64,0.97,0.84,0.71,0.99
65,0.76,0.65,0.97,0.86,0.73,0.99
66,0.78,0.69,0.97,0.86,0.75,0.99
67,0.79,0.73,0.97,0.86,0.77,0.99
68,0.79,0.74,0.97,0.86,0.78,0.99
69,0.8,0.75,0.99,0.88,0.81,1.0
70,0.86,0.76,1.0,0.92,0.85,1.0
71,0.88,0.79,1.0,0.93,0.9,1.0
72,0.88,0.84,1.0,0.96,0.94,1.0
73,0.9,0.86,1.0,0.97,0.97,1.0
74,0.93,0.93,1.0,0.98,0.99,1.0
75,1.0,1.0,1.0,1.0,1.0,1.0
total_days,118.0,,,,,
