bar_index,prob_high_set_exact,prob_low_set_exact,prob_either_set_exact,prob_high_set_offset_10,prob_low_set_offset_10,prob_either_set_offset_10
1,0.13,0.24,0.37,0.26,0.3,0.57
2,0.21,0.26,0.47,0.33,0.33,0.64
3,0.24,0.28,0.51,0.34,0.33,0.66
4,0.28,0.3,0.58,0.41,0.38,0.76
5,0.32,0.32,0.62,0.43,0.38,0.78
6,0.34,0.33,0.64,0.47,0.39,0.82
7,0.36,0.34,0.67,0.49,0.42,0.84
8,0.37,0.34,0.68,0.49,0.42,0.84
9,0.38,0.36,0.71,0.49,0.42,0.84
10,0.39,0.37,0.74,0.5,0.46,0.88
11,0.41,0.39,0.78,0.5,0.47,0.88
12,0.41,0.39,0.78,0.5,0.49,0.88
13,0.41,0.39,0.78,0.5,0.49,0.88
14,0.41,0.39,0.78,0.51,0.49,0.88
15,0.41,0.39,0.78,0.51,0.49,0.88
16,0.41,0.41,0.79,0.53,0.49,0.88
17,0.41,0.41,0.79,0.53,0.5,0.88
18,0.41,0.43,0.79,0.53,0.53,0.89
19,0.41,0.45,0.8,0.54,0.54,0.91
20,0.41,0.46,0.82,0.54,0.54,0.91
21,0.42,0.46,0.82,0.54,0.55,0.91
22,0.42,0.47,0.83,0.54,0.55,0.91
23,0.45,0.47,0.84,0.55,0.55,0.92
24,0.47,0.47,0.86,0.55,0.57,0.93
25,0.47,0.49,0.87,0.55,0.58,0.95
26,0.47,0.49,0.87,0.55,0.58,0.95
27,0.47,0.49,0.87,0.57,0.58,0.95
28,0.5,0.5,0.88,0.58,0.58,0.95
29,0.5,0.5,0.88,0.59,0.58,0.95
30,0.5,0.5,0.88,0.61,0.58,0.95
31,0.5,0.5,0.88,0.61,0.58,0.95
32,0.53,0.5,0.91,0.64,0.58,0.97
33,0.54,0.51,0.93,0.64,0.61,0.99
34,0.54,0.53,0.93,0.64,0.61,0.99
35,0.55,0.54,0.95,0.64,0.62,0.99
36,0.55,0.54,0.95,0.64,0.62,0.99
37,0.57,0.54,0.95,0.64,0.62,0.99
38,0.57,0.55,0.95,0.64,0.63,0.99
39,0.57,0.57,0.95,0.64,0.63,0.99
40,0.57,0.57,0.95,0.64,0.63,0.99
41,0.58,0.57,0.96,0.66,0.63,0.99
42,0.58,0.57,0.96,0.66,0.66,0.99
43,0.58,0.57,0.96,0.66,0.66,0.99
44,0.59,0.58,0.96,0.66,0.66,0.99
45,0.59,0.58,0.96,0.66,0.66,0.99
46,0.59,0.58,0.96,0.66,0.67,1.0
47,0.59,0.59,0.97,0.67,0.67,1.0
48,0.59,0.59,0.97,0.67,0.67,1.0
49,0.59,0.59,0.97,0.67,0.67,1.0
50,0.59,0.59,0.97,0.67,0.67,1.0
51,0.59,0.59,0.97,0.67,0.67,1.0
52,0.59,0.59,0.97,0.67,0.67,1.0
53,0.61,0.59,0.97,0.67,0.67,1.0
54,0.62,0.59,0.99,0.67,0.68,1.0
55,0.63,0.59,0.99,0.68,0.68,1.0
56,0.63,0.61,0.99,0.7,0.7,1.0
57,0.63,0.62,0.99,0.7,0.7,1.0
58,0.64,0.63,0.99,0.72,0.71,1.0
59,0.66,0.64,0.99,0.74,0.72,1.0
60,0.66,0.66,0.99,0.74,0.72,1.0
61,0.68,0.67,1.0,0.75,0.75,1.0
62,0.71,0.67,1.0,0.79,0.75,1.0
63,0.72,0.67,1.0,0.84,0.76,1.0
64,0.75,0.68,1.0,0.88,0.76,1.0
65,0.79,0.68,1.0,0.88,0.76,1.0
66,0.82,0.68,1.0,0.89,0.78,1.0
67,0.82,0.7,1.0,0.91,0.79,1.0
68,0.82,0.71,1.0,0.92,0.8,1.0
69,0.83,0.74,1.0,0.92,0.82,1.0
70,0.86,0.78,1.0,0.95,0.84,1.0
71,0.87,0.82,1.0,0.96,0.89,1.0
72,0.91,0.85,1.0,0.99,0.93,1.0
73,0.92,0.92,1.0,1.0,0.95,1.0
74,0.97,0.93,1.0,1.0,1.0,1.0
75,1.0,1.0,1.0,1.0,1.0,1.0
total_days,76.0,,,,,
