bar_index,prob_high_set_exact,prob_low_set_exact,prob_either_set_exact,prob_high_set_offset_10,prob_low_set_offset_10,prob_either_set_offset_10
1,0.32,0.0,0.32,0.46,0.07,0.5
2,0.32,0.11,0.43,0.46,0.18,0.61
3,0.32,0.11,0.43,0.46,0.21,0.64
4,0.39,0.21,0.57,0.5,0.32,0.71
5,0.39,0.25,0.61,0.5,0.32,0.71
6,0.39,0.29,0.64,0.54,0.36,0.75
7,0.39,0.29,0.64,0.54,0.39,0.79
8,0.39,0.29,0.64,0.54,0.43,0.82
9,0.39,0.32,0.68,0.57,0.43,0.82
10,0.39,0.32,0.68,0.61,0.5,0.89
11,0.39,0.36,0.68,0.61,0.5,0.89
12,0.43,0.36,0.71,0.61,0.54,0.89
13,0.46,0.36,0.75,0.61,0.54,0.89
14,0.46,0.39,0.79,0.61,0.54,0.89
15,0.46,0.39,0.79,0.61,0.57,0.93
16,0.46,0.39,0.79,0.61,0.57,0.93
17,0.5,0.43,0.82,0.61,0.57,0.93
18,0.5,0.43,0.82,0.61,0.57,0.93
19,0.5,0.46,0.86,0.61,0.57,0.93
20,0.5,0.46,0.86,0.61,0.61,0.96
21,0.5,0.46,0.86,0.61,0.61,0.96
22,0.5,0.46,0.86,0.61,0.61,0.96
23,0.5,0.46,0.86,0.61,0.61,0.96
24,0.5,0.46,0.86,0.61,0.68,1.0
25,0.5,0.46,0.86,0.61,0.68,1.0
26,0.5,0.46,0.86,0.61,0.68,1.0
27,0.5,0.5,0.89,0.61,0.68,1.0
28,0.5,0.5,0.89,0.61,0.68,1.0
29,0.5,0.54,0.93,0.61,0.68,1.0
30,0.5,0.54,0.93,0.61,0.68,1.0
31,0.5,0.54,0.93,0.61,0.68,1.0
32,0.5,0.54,0.93,0.61,0.68,1.0
33,0.5,0.54,0.93,0.64,0.68,1.0
34,0.54,0.54,0.93,0.64,0.68,1.0
35,0.54,0.57,0.96,0.64,0.68,1.0
36,0.54,0.57,0.96,0.64,0.68,1.0
37,0.54,0.57,0.96,0.64,0.68,1.0
38,0.54,0.57,0.96,0.64,0.68,1.0
39,0.54,0.57,0.96,0.64,0.68,1.0
40,0.54,0.57,0.96,0.64,0.71,1.0
41,0.54,0.57,0.96,0.64,0.71,1.0
42,0.54,0.57,0.96,0.64,0.71,1.0
43,0.54,0.57,0.96,0.68,0.71,1.0
44,0.54,0.57,0.96,0.68,0.71,1.0
45,0.54,0.57,0.96,0.68,0.71,1.0
46,0.57,0.57,0.96,0.68,0.71,1.0
47,0.57,0.61,0.96,0.68,0.71,1.0
48,0.57,0.64,0.96,0.68,0.71,1.0
49,0.57,0.68,0.96,0.68,0.71,1.0
50,0.57,0.68,0.96,0.71,0.71,1.0
51,0.61,0.68,0.96,0.71,0.71,1.0
52,0.61,0.68,0.96,0.71,0.71,1.0
53,0.61,0.68,0.96,0.71,0.71,1.0
54,0.61,0.68,0.96,0.71,0.71,1.0
55,0.61,0.68,0.96,0.71,0.71,1.0
56,0.64,0.68,1.0,0.71,0.71,1.0
57,0.64,0.68,1.0,0.71,0.71,1.0
58,0.64,0.68,1.0,0.75,0.75,1.0
59,0.68,0.71,1.0,0.75,0.79,1.0
60,0.68,0.71,1.0,0.75,0.79,1.0
61,0.68,0.71,1.0,0.79,0.79,1.0
62,0.68,0.71,1.0,0.82,0.79,1.0
63,0.71,0.71,1.0,0.82,0.82,1.0
64,0.71,0.75,1.0,0.86,0.82,1.0
65,0.71,0.75,1.0,0.86,0.82,1.0
66,0.71,0.75,1.0,0.86,0.82,1.0
67,0.75,0.82,1.0,0.86,0.86,1.0
68,0.75,0.82,1.0,0.86,0.86,1.0
69,0.75,0.82,1.0,0.89,0.89,1.0
70,0.82,0.86,1.0,0.93,0.89,1.0
71,0.82,0.86,1.0,0.93,0.93,1.0
72,0.82,0.86,1.0,0.96,0.93,1.0
73,0.86,0.89,1.0,1.0,0.96,1.0
74,0.93,1.0,1.0,1.0,1.0,1.0
75,1.0,1.0,1.0,1.0,1.0,1.0
total_days,28.0,,,,,
