bar_index,prob_high_set_exact,prob_low_set_exact,prob_either_set_exact,prob_high_set_offset_10,prob_low_set_offset_10,prob_either_set_offset_10
1,0.0,0.41,0.41,0.11,0.44,0.56
2,0.11,0.41,0.52,0.19,0.44,0.63
3,0.11,0.44,0.56,0.19,0.44,0.63
4,0.11,0.48,0.59,0.3,0.52,0.81
5,0.15,0.48,0.63,0.3,0.52,0.81
6,0.19,0.48,0.67,0.37,0.52,0.89
7,0.22,0.48,0.7,0.37,0.52,0.89
8,0.26,0.48,0.74,0.37,0.52,0.89
9,0.26,0.48,0.74,0.37,0.52,0.89
10,0.26,0.48,0.74,0.37,0.56,0.89
11,0.26,0.48,0.74,0.37,0.56,0.89
12,0.26,0.48,0.74,0.37,0.56,0.89
13,0.26,0.48,0.74,0.37,0.56,0.89
14,0.26,0.48,0.74,0.41,0.56,0.89
15,0.26,0.48,0.74,0.41,0.56,0.89
16,0.26,0.48,0.74,0.44,0.56,0.89
17,0.26,0.48,0.74,0.44,0.56,0.89
18,0.26,0.48,0.74,0.44,0.56,0.89
19,0.26,0.48,0.74,0.44,0.56,0.89
20,0.26,0.48,0.74,0.44,0.56,0.89
21,0.3,0.48,0.74,0.44,0.59,0.89
22,0.3,0.52,0.78,0.44,0.59,0.89
23,0.33,0.52,0.81,0.44,0.59,0.89
24,0.37,0.52,0.81,0.44,0.59,0.89
25,0.37,0.52,0.81,0.44,0.59,0.89
26,0.37,0.52,0.81,0.44,0.59,0.89
27,0.37,0.52,0.81,0.48,0.59,0.89
28,0.41,0.52,0.81,0.52,0.59,0.89
29,0.41,0.52,0.81,0.52,0.59,0.89
30,0.41,0.52,0.81,0.56,0.59,0.89
31,0.41,0.52,0.81,0.56,0.59,0.89
32,0.41,0.52,0.81,0.63,0.59,0.93
33,0.44,0.56,0.89,0.63,0.63,0.96
34,0.44,0.56,0.89,0.63,0.63,0.96
35,0.44,0.59,0.93,0.63,0.63,0.96
36,0.44,0.59,0.93,0.63,0.63,0.96
37,0.48,0.59,0.93,0.63,0.63,0.96
38,0.48,0.59,0.93,0.63,0.63,0.96
39,0.48,0.59,0.93,0.63,0.63,0.96
40,0.48,0.59,0.93,0.63,0.63,0.96
41,0.52,0.59,0.96,0.67,0.63,0.96
42,0.52,0.59,0.96,0.67,0.7,0.96
43,0.52,0.59,0.96,0.67,0.7,0.96
44,0.56,0.63,0.96,0.67,0.7,0.96
45,0.56,0.63,0.96,0.67,0.7,0.96
46,0.56,0.63,0.96,0.67,0.74,1.0
47,0.56,0.67,1.0,0.67,0.74,1.0
48,0.56,0.67,1.0,0.67,0.74,1.0
49,0.56,0.67,1.0,0.67,0.74,1.0
50,0.56,0.67,1.0,0.67,0.74,1.0
51,0.56,0.67,1.0,0.67,0.74,1.0
52,0.56,0.67,1.0,0.67,0.74,1.0
53,0.56,0.67,1.0,0.67,0.74,1.0
54,0.56,0.67,1.0,0.67,0.74,1.0
55,0.56,0.67,1.0,0.67,0.74,1.0
56,0.56,0.67,1.0,0.7,0.74,1.0
57,0.56,0.67,1.0,0.7,0.74,1.0
58,0.56,0.67,1.0,0.7,0.74,1.0
59,0.59,0.7,1.0,0.74,0.78,1.0
60,0.59,0.7,1.0,0.74,0.78,1.0
61,0.59,0.7,1.0,0.74,0.81,1.0
62,0.63,0.7,1.0,0.74,0.81,1.0
63,0.67,0.7,1.0,0.78,0.81,1.0
64,0.7,0.74,1.0,0.81,0.81,1.0
65,0.7,0.74,1.0,0.81,0.81,1.0
66,0.74,0.74,1.0,0.85,0.81,1.0
67,0.74,0.74,1.0,0.85,0.85,1.0
68,0.74,0.78,1.0,0.85,0.89,1.0
69,0.74,0.78,1.0,0.85,0.89,1.0
70,0.78,0.81,1.0,0.89,0.89,1.0
71,0.78,0.85,1.0,0.93,0.93,1.0
72,0.88,0.85,1.0,0.96,0.96,1.0
73,0.88,0.92,1.0,1.0,0.96,1.0
74,0.96,0.92,1.0,1.0,1.0,1.0
75,1.0,1.0,1.0,1.0,1.0,1.0
total_days,27.0,,,,,
