bar_index,prob_high_set_exact,prob_low_set_exact,prob_either_set_exact,prob_high_set_offset_10,prob_low_set_offset_10,prob_either_set_offset_10
1,0.24,0.14,0.38,0.35,0.23,0.57
2,0.28,0.19,0.47,0.38,0.29,0.66
3,0.3,0.21,0.51,0.4,0.31,0.7
4,0.32,0.25,0.57,0.41,0.35,0.74
5,0.35,0.26,0.61,0.43,0.36,0.78
6,0.37,0.29,0.65,0.45,0.38,0.8
7,0.38,0.31,0.68,0.46,0.39,0.82
8,0.39,0.32,0.7,0.46,0.41,0.83
9,0.4,0.34,0.72,0.47,0.42,0.83
10,0.41,0.35,0.74,0.49,0.42,0.85
11,0.41,0.35,0.75,0.49,0.44,0.86
12,0.42,0.36,0.76,0.49,0.44,0.87
13,0.43,0.38,0.78,0.51,0.46,0.88
14,0.44,0.38,0.79,0.51,0.46,0.89
15,0.44,0.38,0.79,0.53,0.47,0.9
16,0.45,0.39,0.8,0.54,0.47,0.91
17,0.46,0.39,0.81,0.54,0.48,0.91
18,0.46,0.39,0.82,0.54,0.49,0.92
19,0.47,0.41,0.83,0.55,0.5,0.93
20,0.47,0.42,0.84,0.56,0.51,0.93
21,0.47,0.42,0.85,0.56,0.51,0.93
22,0.48,0.42,0.85,0.56,0.51,0.93
23,0.48,0.42,0.85,0.56,0.51,0.93
24,0.48,0.43,0.86,0.57,0.51,0.93
25,0.49,0.43,0.87,0.57,0.51,0.93
26,0.49,0.43,0.87,0.58,0.52,0.94
27,0.5,0.44,0.88,0.58,0.53,0.95
28,0.5,0.45,0.88,0.59,0.54,0.95
29,0.5,0.45,0.89,0.6,0.54,0.95
30,0.5,0.46,0.89,0.6,0.54,0.96
31,0.5,0.47,0.9,0.6,0.55,0.96
32,0.51,0.47,0.9,0.6,0.56,0.96
33,0.51,0.47,0.9,0.6,0.56,0.96
34,0.51,0.47,0.91,0.6,0.56,0.96
35,0.51,0.48,0.91,0.61,0.56,0.96
36,0.52,0.48,0.91,0.61,0.57,0.96
37,0.52,0.48,0.92,0.61,0.58,0.97
38,0.52,0.49,0.92,0.62,0.58,0.97
39,0.53,0.49,0.92,0.62,0.59,0.97
40,0.53,0.5,0.93,0.62,0.6,0.97
41,0.54,0.5,0.93,0.62,0.6,0.97
42,0.54,0.5,0.93,0.63,0.6,0.97
43,0.55,0.51,0.94,0.63,0.61,0.97
44,0.55,0.52,0.94,0.63,0.63,0.98
45,0.55,0.53,0.94,0.63,0.63,0.98
46,0.56,0.53,0.94,0.65,0.64,0.98
47,0.56,0.55,0.95,0.65,0.65,0.98
48,0.57,0.55,0.95,0.66,0.65,0.98
49,0.57,0.56,0.95,0.67,0.66,0.98
50,0.58,0.57,0.96,0.67,0.67,0.98
51,0.58,0.57,0.96,0.67,0.68,0.99
52,0.58,0.57,0.96,0.69,0.7,0.99
53,0.58,0.59,0.96,0.7,0.7,0.99
54,0.58,0.61,0.97,0.7,0.71,0.99
55,0.59,0.61,0.97,0.7,0.71,0.99
56,0.6,0.61,0.97,0.71,0.74,0.99
57,0.6,0.62,0.97,0.72,0.74,0.99
58,0.61,0.63,0.97,0.73,0.75,0.99
59,0.62,0.65,0.97,0.75,0.76,1.0
60,0.62,0.66,0.98,0.75,0.77,1.0
61,0.63,0.67,0.98,0.76,0.78,1.0
62,0.64,0.69,0.99,0.77,0.79,1.0
63,0.66,0.69,0.99,0.78,0.79,1.0
64,0.68,0.71,0.99,0.78,0.81,1.0
65,0.69,0.72,0.99,0.8,0.82,1.0
66,0.7,0.73,0.99,0.81,0.84,1.0
67,0.72,0.75,1.0,0.83,0.86,1.0
68,0.73,0.78,1.0,0.84,0.87,1.0
69,0.75,0.79,1.0,0.85,0.89,1.0
70,0.79,0.82,1.0,0.89,0.93,1.0
71,0.81,0.85,1.0,0.92,0.94,1.0
72,0.84,0.88,1.0,0.95,0.97,1.0
73,0.88,0.93,1.0,0.98,0.98,1.0
74,0.92,0.96,1.0,0.99,0.99,1.0
75,1.0,1.0,1.0,1.0,1.0,1.0
total_days,379.0,,,,,
