bar_index,prob_high_set_exact,prob_low_set_exact,prob_either_set_exact,prob_high_set_offset_10,prob_low_set_offset_10,prob_either_set_offset_10
1,0.09,0.27,0.36,0.21,0.32,0.53
2,0.16,0.28,0.44,0.26,0.36,0.62
3,0.19,0.3,0.48,0.28,0.38,0.66
4,0.22,0.35,0.57,0.3,0.42,0.71
5,0.24,0.36,0.6,0.32,0.44,0.75
6,0.27,0.38,0.64,0.35,0.45,0.79
7,0.29,0.38,0.67,0.36,0.46,0.8
8,0.3,0.39,0.68,0.36,0.46,0.81
9,0.31,0.39,0.7,0.36,0.47,0.81
10,0.32,0.4,0.72,0.38,0.48,0.83
11,0.33,0.41,0.73,0.39,0.49,0.85
12,0.32,0.42,0.74,0.39,0.49,0.85
13,0.33,0.43,0.76,0.41,0.51,0.86
14,0.34,0.44,0.78,0.41,0.52,0.87
15,0.34,0.44,0.78,0.43,0.53,0.89
16,0.36,0.45,0.8,0.45,0.53,0.9
17,0.36,0.45,0.8,0.45,0.54,0.9
18,0.37,0.45,0.81,0.46,0.55,0.91
19,0.37,0.48,0.83,0.46,0.56,0.91
20,0.37,0.49,0.84,0.46,0.57,0.91
21,0.37,0.49,0.84,0.46,0.57,0.92
22,0.37,0.49,0.84,0.46,0.57,0.92
23,0.38,0.49,0.84,0.47,0.57,0.92
24,0.39,0.51,0.86,0.47,0.57,0.92
25,0.39,0.51,0.86,0.47,0.57,0.92
26,0.39,0.51,0.86,0.47,0.58,0.93
27,0.39,0.52,0.87,0.47,0.58,0.93
28,0.39,0.53,0.88,0.47,0.59,0.93
29,0.39,0.53,0.88,0.48,0.59,0.93
30,0.39,0.53,0.88,0.49,0.6,0.95
31,0.39,0.53,0.89,0.5,0.61,0.95
32,0.39,0.53,0.89,0.5,0.61,0.95
33,0.39,0.53,0.89,0.5,0.61,0.95
34,0.39,0.53,0.89,0.5,0.61,0.95
35,0.39,0.53,0.89,0.51,0.61,0.95
36,0.41,0.53,0.9,0.51,0.62,0.95
37,0.41,0.53,0.91,0.51,0.63,0.96
38,0.42,0.55,0.92,0.52,0.64,0.96
39,0.43,0.55,0.92,0.52,0.64,0.97
40,0.43,0.56,0.92,0.52,0.64,0.97
41,0.44,0.56,0.93,0.52,0.65,0.97
42,0.44,0.56,0.93,0.53,0.65,0.97
43,0.45,0.57,0.93,0.54,0.66,0.97
44,0.45,0.57,0.93,0.55,0.66,0.97
45,0.45,0.59,0.93,0.55,0.68,0.97
46,0.46,0.59,0.94,0.57,0.69,0.99
47,0.47,0.62,0.95,0.58,0.7,0.99
48,0.49,0.62,0.95,0.59,0.7,0.99
49,0.49,0.63,0.95,0.6,0.7,0.99
50,0.5,0.63,0.95,0.61,0.7,0.99
51,0.5,0.63,0.95,0.61,0.7,0.99
52,0.5,0.63,0.95,0.62,0.72,0.99
53,0.5,0.64,0.95,0.64,0.72,0.99
54,0.5,0.66,0.96,0.64,0.73,0.99
55,0.51,0.66,0.96,0.65,0.73,0.99
56,0.51,0.67,0.97,0.66,0.76,0.99
57,0.52,0.68,0.97,0.67,0.78,0.99
58,0.53,0.7,0.97,0.68,0.78,0.99
59,0.54,0.71,0.97,0.68,0.78,0.99
60,0.54,0.71,0.97,0.69,0.79,0.99
61,0.54,0.72,0.97,0.7,0.79,0.99
62,0.55,0.72,0.97,0.7,0.8,1.0
63,0.57,0.72,0.98,0.71,0.8,1.0
64,0.58,0.74,0.99,0.71,0.82,1.0
65,0.6,0.74,0.99,0.74,0.83,1.0
66,0.62,0.76,0.99,0.76,0.86,1.0
67,0.66,0.78,0.99,0.76,0.88,1.0
68,0.67,0.8,0.99,0.78,0.89,1.0
69,0.7,0.82,1.0,0.8,0.91,1.0
70,0.74,0.85,1.0,0.84,0.94,1.0
71,0.76,0.89,1.0,0.91,0.95,1.0
72,0.82,0.91,1.0,0.94,0.96,1.0
73,0.87,0.94,1.0,0.96,0.99,1.0
74,0.91,0.97,1.0,0.98,1.0,1.0
75,1.0,1.0,1.0,1.0,1.0,1.0
total_days,149.0,,,,,
