bar_index,prob_high_set_exact,prob_low_set_exact,prob_either_set_exact,prob_high_set_offset_10,prob_low_set_offset_10,prob_either_set_offset_10
1,0.39,0.0,0.39,0.48,0.1,0.56
2,0.39,0.15,0.54,0.49,0.23,0.7
3,0.39,0.16,0.56,0.49,0.25,0.72
4,0.41,0.18,0.59,0.51,0.26,0.75
5,0.46,0.2,0.66,0.54,0.28,0.8
6,0.46,0.21,0.67,0.54,0.28,0.8
7,0.48,0.25,0.7,0.57,0.3,0.84
8,0.49,0.26,0.74,0.57,0.31,0.84
9,0.51,0.28,0.77,0.57,0.34,0.84
10,0.51,0.28,0.77,0.59,0.34,0.85
11,0.51,0.28,0.77,0.59,0.38,0.87
12,0.51,0.3,0.79,0.59,0.39,0.89
13,0.52,0.31,0.79,0.61,0.43,0.9
14,0.54,0.33,0.82,0.61,0.43,0.9
15,0.54,0.33,0.82,0.61,0.44,0.92
16,0.57,0.33,0.85,0.61,0.44,0.92
17,0.59,0.33,0.87,0.61,0.46,0.92
18,0.59,0.33,0.87,0.61,0.48,0.92
19,0.59,0.33,0.87,0.61,0.48,0.92
20,0.59,0.33,0.87,0.61,0.48,0.92
21,0.59,0.33,0.87,0.61,0.48,0.92
22,0.59,0.33,0.87,0.61,0.48,0.92
23,0.59,0.33,0.87,0.61,0.48,0.92
24,0.59,0.34,0.89,0.61,0.48,0.92
25,0.59,0.34,0.89,0.61,0.48,0.92
26,0.59,0.34,0.89,0.61,0.48,0.92
27,0.59,0.34,0.89,0.62,0.51,0.95
28,0.59,0.36,0.89,0.64,0.51,0.95
29,0.59,0.38,0.89,0.66,0.51,0.95
30,0.59,0.38,0.89,0.66,0.51,0.95
31,0.59,0.43,0.92,0.66,0.52,0.97
32,0.59,0.43,0.92,0.66,0.54,0.97
33,0.59,0.44,0.93,0.66,0.54,0.97
34,0.61,0.44,0.95,0.66,0.54,0.97
35,0.61,0.46,0.95,0.66,0.56,0.97
36,0.61,0.46,0.95,0.66,0.56,0.97
37,0.62,0.49,0.95,0.66,0.57,0.97
38,0.62,0.49,0.95,0.66,0.57,0.97
39,0.62,0.49,0.95,0.66,0.59,0.97
40,0.62,0.49,0.95,0.66,0.59,0.97
41,0.62,0.49,0.95,0.66,0.59,0.97
42,0.62,0.49,0.95,0.66,0.59,0.97
43,0.62,0.49,0.95,0.66,0.59,0.97
44,0.62,0.49,0.95,0.66,0.62,0.98
45,0.62,0.49,0.95,0.67,0.62,0.98
46,0.64,0.49,0.95,0.67,0.62,0.98
47,0.64,0.51,0.97,0.67,0.64,0.98
48,0.64,0.52,0.97,0.67,0.64,0.98
49,0.64,0.54,0.97,0.67,0.67,0.98
50,0.64,0.54,0.97,0.67,0.67,0.98
51,0.64,0.54,0.97,0.67,0.69,0.98
52,0.64,0.56,0.97,0.67,0.7,0.98
53,0.64,0.57,0.97,0.69,0.7,0.98
54,0.64,0.64,0.98,0.69,0.74,0.98
55,0.64,0.64,0.98,0.69,0.74,0.98
56,0.64,0.64,0.98,0.69,0.75,0.98
57,0.64,0.67,0.98,0.7,0.75,0.98
58,0.64,0.67,0.98,0.7,0.75,0.98
59,0.64,0.67,0.98,0.75,0.77,1.0
60,0.64,0.67,0.98,0.75,0.77,1.0
61,0.66,0.67,1.0,0.77,0.79,1.0
62,0.66,0.67,1.0,0.77,0.79,1.0
63,0.67,0.67,1.0,0.77,0.79,1.0
64,0.69,0.69,1.0,0.77,0.8,1.0
65,0.69,0.69,1.0,0.79,0.8,1.0
66,0.69,0.72,1.0,0.79,0.82,1.0
67,0.69,0.74,1.0,0.82,0.87,1.0
68,0.72,0.77,1.0,0.84,0.89,1.0
69,0.72,0.77,1.0,0.84,0.89,1.0
70,0.72,0.8,1.0,0.89,0.93,1.0
71,0.75,0.84,1.0,0.89,0.95,1.0
72,0.8,0.85,1.0,0.92,0.98,1.0
73,0.84,0.93,1.0,0.98,0.98,1.0
74,0.89,0.93,1.0,1.0,1.0,1.0
75,1.0,1.0,1.0,1.0,1.0,1.0
total_days,61.0,,,,,
