bar_index,prob_high_set_exact,prob_low_set_exact,prob_either_set_exact,prob_high_set_offset_10,prob_low_set_offset_10,prob_either_set_offset_10
1,0.48,0.0,0.48,0.58,0.09,0.67
2,0.48,0.06,0.55,0.58,0.18,0.76
3,0.48,0.06,0.55,0.61,0.21,0.76
4,0.48,0.09,0.55,0.61,0.24,0.79
5,0.48,0.15,0.61,0.61,0.27,0.79
6,0.48,0.18,0.61,0.64,0.27,0.82
7,0.52,0.18,0.64,0.64,0.3,0.85
8,0.52,0.18,0.64,0.64,0.33,0.88
9,0.52,0.18,0.64,0.64,0.33,0.88
10,0.52,0.21,0.67,0.64,0.33,0.88
11,0.55,0.21,0.7,0.64,0.33,0.88
12,0.55,0.21,0.7,0.64,0.33,0.88
13,0.58,0.21,0.73,0.64,0.33,0.88
14,0.58,0.21,0.73,0.67,0.33,0.91
15,0.58,0.21,0.73,0.67,0.33,0.91
16,0.58,0.24,0.76,0.67,0.33,0.91
17,0.61,0.24,0.79,0.7,0.36,0.91
18,0.61,0.27,0.79,0.7,0.36,0.91
19,0.61,0.3,0.82,0.7,0.39,0.94
20,0.61,0.33,0.85,0.7,0.42,0.97
21,0.61,0.33,0.85,0.7,0.42,0.97
22,0.61,0.33,0.85,0.7,0.42,0.97
23,0.61,0.33,0.85,0.7,0.42,0.97
24,0.61,0.36,0.85,0.7,0.45,0.97
25,0.61,0.36,0.85,0.7,0.45,0.97
26,0.61,0.36,0.85,0.7,0.45,0.97
27,0.61,0.36,0.85,0.7,0.48,0.97
28,0.61,0.39,0.85,0.73,0.48,1.0
29,0.64,0.39,0.88,0.73,0.48,1.0
30,0.64,0.39,0.88,0.73,0.48,1.0
31,0.64,0.39,0.88,0.73,0.48,1.0
32,0.64,0.39,0.88,0.73,0.52,1.0
33,0.64,0.39,0.88,0.73,0.52,1.0
34,0.64,0.39,0.88,0.73,0.52,1.0
35,0.67,0.39,0.88,0.73,0.52,1.0
36,0.67,0.39,0.88,0.73,0.52,1.0
37,0.67,0.39,0.88,0.73,0.55,1.0
38,0.67,0.39,0.88,0.73,0.55,1.0
39,0.67,0.39,0.88,0.73,0.55,1.0
40,0.67,0.42,0.88,0.73,0.55,1.0
41,0.67,0.42,0.88,0.73,0.55,1.0
42,0.67,0.45,0.91,0.73,0.55,1.0
43,0.67,0.45,0.91,0.73,0.55,1.0
44,0.67,0.45,0.91,0.73,0.55,1.0
45,0.67,0.45,0.91,0.73,0.55,1.0
46,0.67,0.45,0.91,0.73,0.58,1.0
47,0.67,0.45,0.91,0.73,0.58,1.0
48,0.67,0.52,0.94,0.73,0.61,1.0
49,0.67,0.52,0.94,0.73,0.64,1.0
50,0.67,0.52,0.94,0.73,0.64,1.0
51,0.67,0.52,0.94,0.73,0.64,1.0
52,0.67,0.55,0.94,0.73,0.64,1.0
53,0.67,0.55,0.94,0.73,0.67,1.0
54,0.67,0.58,0.97,0.73,0.67,1.0
55,0.67,0.58,0.97,0.73,0.7,1.0
56,0.67,0.58,0.97,0.73,0.7,1.0
57,0.67,0.58,0.97,0.73,0.73,1.0
58,0.67,0.61,0.97,0.76,0.73,1.0
59,0.67,0.61,0.97,0.76,0.76,1.0
60,0.7,0.61,0.97,0.76,0.76,1.0
61,0.7,0.64,0.97,0.76,0.76,1.0
62,0.7,0.7,0.97,0.76,0.79,1.0
63,0.7,0.7,0.97,0.76,0.79,1.0
64,0.7,0.73,0.97,0.76,0.82,1.0
65,0.7,0.76,0.97,0.82,0.85,1.0
66,0.7,0.76,0.97,0.82,0.85,1.0
67,0.73,0.76,0.97,0.88,0.91,1.0
68,0.76,0.79,1.0,0.88,0.94,1.0
69,0.76,0.82,1.0,0.88,0.94,1.0
70,0.76,0.85,1.0,0.94,0.97,1.0
71,0.76,0.85,1.0,0.97,1.0,1.0
72,0.85,0.91,1.0,0.97,1.0,1.0
73,0.91,0.91,1.0,1.0,1.0,1.0
74,0.97,0.97,1.0,1.0,1.0,1.0
75,1.0,1.0,1.0,1.0,1.0,1.0
total_days,33.0,,,,,
