bar_index,prob_high_set_exact,prob_low_set_exact,prob_either_set_exact,prob_high_set_offset_10,prob_low_set_offset_10,prob_either_set_offset_10
1,0.05,0.29,0.34,0.16,0.37,0.52
2,0.11,0.29,0.4,0.31,0.37,0.63
3,0.18,0.29,0.47,0.34,0.39,0.68
4,0.18,0.31,0.48,0.4,0.42,0.74
5,0.24,0.32,0.56,0.4,0.44,0.76
6,0.24,0.34,0.58,0.42,0.45,0.79
7,0.27,0.34,0.61,0.45,0.45,0.81
8,0.31,0.34,0.65,0.45,0.45,0.81
9,0.32,0.35,0.68,0.48,0.45,0.84
10,0.34,0.35,0.68,0.53,0.45,0.85
11,0.34,0.35,0.68,0.53,0.47,0.85
12,0.34,0.35,0.68,0.55,0.47,0.87
13,0.35,0.35,0.69,0.56,0.47,0.89
14,0.4,0.37,0.73,0.58,0.47,0.9
15,0.42,0.37,0.74,0.6,0.47,0.9
16,0.42,0.37,0.74,0.6,0.47,0.9
17,0.44,0.37,0.76,0.6,0.48,0.9
18,0.44,0.37,0.76,0.61,0.48,0.92
19,0.44,0.37,0.76,0.61,0.48,0.92
20,0.44,0.37,0.76,0.61,0.48,0.92
21,0.44,0.39,0.77,0.63,0.5,0.94
22,0.44,0.39,0.77,0.63,0.5,0.94
23,0.44,0.39,0.77,0.63,0.5,0.94
24,0.44,0.4,0.77,0.66,0.5,0.94
25,0.45,0.42,0.81,0.66,0.52,0.95
26,0.45,0.44,0.82,0.66,0.52,0.95
27,0.45,0.44,0.82,0.68,0.52,0.95
28,0.47,0.44,0.84,0.69,0.52,0.95
29,0.47,0.44,0.84,0.69,0.52,0.95
30,0.47,0.44,0.84,0.69,0.53,0.97
31,0.47,0.44,0.84,0.69,0.53,0.97
32,0.47,0.44,0.84,0.69,0.55,0.97
33,0.48,0.45,0.85,0.69,0.55,0.97
34,0.48,0.45,0.85,0.69,0.56,0.97
35,0.48,0.45,0.85,0.73,0.6,0.98
36,0.48,0.47,0.87,0.74,0.6,0.98
37,0.48,0.47,0.87,0.74,0.6,0.98
38,0.48,0.47,0.87,0.74,0.61,0.98
39,0.48,0.48,0.87,0.74,0.61,0.98
40,0.48,0.48,0.87,0.74,0.63,0.98
41,0.48,0.52,0.89,0.74,0.63,0.98
42,0.48,0.55,0.89,0.74,0.63,0.98
43,0.48,0.56,0.89,0.74,0.63,0.98
44,0.48,0.58,0.89,0.74,0.65,0.98
45,0.48,0.58,0.89,0.74,0.65,0.98
46,0.48,0.58,0.89,0.74,0.65,0.98
47,0.5,0.58,0.89,0.76,0.65,0.98
48,0.5,0.58,0.89,0.76,0.65,0.98
49,0.5,0.6,0.9,0.76,0.66,0.98
50,0.5,0.6,0.9,0.76,0.68,1.0
51,0.52,0.6,0.9,0.76,0.68,1.0
52,0.55,0.6,0.9,0.76,0.69,1.0
53,0.55,0.6,0.9,0.76,0.69,1.0
54,0.56,0.61,0.94,0.76,0.69,1.0
55,0.58,0.61,0.94,0.76,0.69,1.0
56,0.6,0.61,0.95,0.76,0.69,1.0
57,0.61,0.63,0.97,0.79,0.71,1.0
58,0.61,0.66,0.97,0.79,0.74,1.0
59,0.61,0.68,0.97,0.81,0.74,1.0
60,0.61,0.68,0.97,0.81,0.76,1.0
61,0.66,0.71,0.98,0.81,0.77,1.0
62,0.66,0.71,0.98,0.81,0.77,1.0
63,0.66,0.71,0.98,0.81,0.77,1.0
64,0.68,0.71,0.98,0.81,0.77,1.0
65,0.69,0.71,0.98,0.82,0.79,1.0
66,0.69,0.74,0.98,0.85,0.81,1.0
67,0.69,0.77,0.98,0.85,0.82,1.0
68,0.74,0.77,0.98,0.87,0.87,1.0
69,0.79,0.81,1.0,0.87,0.89,1.0
70,0.81,0.82,1.0,0.9,0.92,1.0
71,0.82,0.84,1.0,0.92,0.94,1.0
72,0.85,0.87,1.0,0.97,0.98,1.0
73,0.92,0.89,1.0,0.97,0.98,1.0
74,0.97,0.94,1.0,1.0,0.98,1.0
75,1.0,1.0,1.0,1.0,1.0,1.0
total_days,62.0,,,,,
