bar_index,prob_high_set_exact,prob_low_set_exact,prob_either_set_exact,prob_high_set_offset_10,prob_low_set_offset_10,prob_either_set_offset_10
1,0.37,0.07,0.43,0.52,0.16,0.67
2,0.39,0.11,0.5,0.54,0.23,0.74
3,0.41,0.13,0.54,0.56,0.26,0.78
4,0.42,0.15,0.57,0.57,0.3,0.82
5,0.43,0.19,0.61,0.58,0.32,0.83
6,0.43,0.21,0.64,0.59,0.34,0.85
7,0.44,0.22,0.66,0.6,0.36,0.87
8,0.45,0.23,0.67,0.6,0.37,0.87
9,0.46,0.25,0.68,0.61,0.39,0.89
10,0.47,0.27,0.71,0.62,0.41,0.9
11,0.48,0.28,0.72,0.63,0.42,0.91
12,0.49,0.29,0.74,0.64,0.43,0.92
13,0.5,0.3,0.76,0.65,0.45,0.93
14,0.51,0.31,0.77,0.65,0.46,0.93
15,0.52,0.31,0.78,0.66,0.47,0.93
16,0.53,0.31,0.78,0.66,0.47,0.94
17,0.53,0.32,0.79,0.66,0.48,0.94
18,0.54,0.33,0.79,0.67,0.49,0.94
19,0.54,0.34,0.81,0.67,0.5,0.95
20,0.54,0.35,0.81,0.67,0.51,0.95
21,0.54,0.36,0.81,0.68,0.51,0.96
22,0.55,0.36,0.82,0.68,0.52,0.96
23,0.55,0.37,0.82,0.68,0.53,0.96
24,0.55,0.37,0.83,0.68,0.54,0.96
25,0.55,0.39,0.83,0.69,0.55,0.96
26,0.55,0.39,0.83,0.69,0.55,0.96
27,0.55,0.4,0.84,0.7,0.55,0.97
28,0.56,0.41,0.85,0.7,0.56,0.97
29,0.57,0.41,0.85,0.7,0.57,0.98
30,0.57,0.42,0.86,0.7,0.58,0.98
31,0.57,0.43,0.86,0.7,0.59,0.98
32,0.57,0.43,0.86,0.7,0.59,0.98
33,0.57,0.44,0.87,0.7,0.6,0.98
34,0.58,0.45,0.87,0.7,0.6,0.98
35,0.58,0.46,0.89,0.71,0.6,0.99
36,0.58,0.48,0.9,0.71,0.61,0.99
37,0.58,0.49,0.9,0.71,0.63,0.99
38,0.59,0.5,0.91,0.71,0.63,0.99
39,0.6,0.51,0.92,0.71,0.63,0.99
40,0.6,0.51,0.92,0.72,0.64,0.99
41,0.6,0.52,0.93,0.72,0.64,0.99
42,0.6,0.52,0.93,0.73,0.65,0.99
43,0.6,0.53,0.93,0.73,0.65,0.99
44,0.61,0.54,0.94,0.73,0.66,0.99
45,0.61,0.55,0.94,0.73,0.66,0.99
46,0.62,0.56,0.95,0.73,0.68,0.99
47,0.62,0.57,0.95,0.74,0.69,1.0
48,0.62,0.57,0.95,0.75,0.7,1.0
49,0.62,0.59,0.96,0.75,0.7,1.0
50,0.63,0.59,0.96,0.76,0.71,1.0
51,0.63,0.6,0.96,0.76,0.71,1.0
52,0.63,0.6,0.96,0.77,0.71,1.0
53,0.64,0.61,0.97,0.78,0.72,1.0
54,0.65,0.62,0.97,0.78,0.73,1.0
55,0.65,0.63,0.98,0.79,0.74,1.0
56,0.66,0.64,0.98,0.8,0.75,1.0
57,0.67,0.65,0.98,0.8,0.75,1.0
58,0.68,0.65,0.98,0.81,0.76,1.0
59,0.69,0.67,0.99,0.82,0.76,1.0
60,0.7,0.68,0.99,0.83,0.77,1.0
61,0.71,0.69,0.99,0.84,0.78,1.0
62,0.73,0.7,0.99,0.85,0.8,1.0
63,0.73,0.72,0.99,0.85,0.81,1.0
64,0.74,0.73,0.99,0.86,0.84,1.0
65,0.75,0.75,1.0,0.86,0.84,1.0
66,0.76,0.77,1.0,0.87,0.85,1.0
67,0.77,0.79,1.0,0.87,0.87,1.0
68,0.77,0.8,1.0,0.88,0.88,1.0
69,0.77,0.81,1.0,0.89,0.89,1.0
70,0.81,0.83,1.0,0.92,0.91,1.0
71,0.83,0.85,1.0,0.95,0.93,1.0
72,0.85,0.87,1.0,0.96,0.96,1.0
73,0.89,0.92,1.0,0.98,0.97,1.0
74,0.94,0.94,1.0,1.0,0.99,1.0
75,1.0,1.0,1.0,1.0,1.0,1.0
total_days,408.0,,,,,
