bar_index,prob_high_set_exact,prob_low_set_exact,prob_either_set_exact,prob_high_set_offset_10,prob_low_set_offset_10,prob_either_set_offset_10
1,0.09,0.31,0.4,0.26,0.4,0.66
2,0.16,0.32,0.47,0.33,0.41,0.72
3,0.19,0.33,0.52,0.35,0.42,0.74
4,0.23,0.36,0.58,0.37,0.44,0.78
5,0.25,0.37,0.61,0.38,0.47,0.8
6,0.27,0.38,0.64,0.41,0.48,0.83
7,0.29,0.41,0.68,0.43,0.49,0.86
8,0.3,0.42,0.7,0.46,0.5,0.88
9,0.32,0.42,0.72,0.47,0.51,0.89
10,0.32,0.44,0.74,0.48,0.52,0.91
11,0.34,0.45,0.76,0.49,0.53,0.91
12,0.34,0.45,0.77,0.5,0.54,0.91
13,0.36,0.46,0.78,0.51,0.55,0.92
14,0.36,0.48,0.79,0.52,0.57,0.93
15,0.38,0.48,0.8,0.53,0.57,0.93
16,0.39,0.48,0.82,0.54,0.58,0.93
17,0.4,0.49,0.82,0.55,0.58,0.93
18,0.41,0.49,0.83,0.55,0.58,0.94
19,0.41,0.5,0.83,0.56,0.59,0.94
20,0.41,0.5,0.83,0.56,0.6,0.94
21,0.42,0.5,0.84,0.57,0.6,0.94
22,0.42,0.5,0.84,0.59,0.6,0.94
23,0.43,0.5,0.84,0.59,0.6,0.95
24,0.43,0.51,0.85,0.59,0.61,0.95
25,0.44,0.52,0.87,0.59,0.62,0.95
26,0.44,0.52,0.87,0.6,0.62,0.96
27,0.45,0.53,0.88,0.6,0.63,0.96
28,0.45,0.53,0.88,0.6,0.63,0.96
29,0.45,0.53,0.89,0.6,0.63,0.96
30,0.45,0.53,0.89,0.61,0.63,0.96
31,0.46,0.53,0.89,0.61,0.63,0.96
32,0.46,0.54,0.89,0.61,0.64,0.97
33,0.47,0.54,0.89,0.62,0.65,0.97
34,0.47,0.55,0.89,0.62,0.66,0.97
35,0.47,0.56,0.9,0.63,0.66,0.97
36,0.47,0.56,0.9,0.63,0.66,0.97
37,0.48,0.56,0.9,0.63,0.68,0.97
38,0.48,0.58,0.91,0.63,0.68,0.97
39,0.49,0.59,0.91,0.64,0.68,0.97
40,0.49,0.59,0.91,0.64,0.69,0.97
41,0.49,0.59,0.91,0.65,0.7,0.97
42,0.5,0.6,0.92,0.65,0.7,0.97
43,0.5,0.61,0.93,0.65,0.72,0.97
44,0.5,0.62,0.93,0.66,0.72,0.98
45,0.5,0.63,0.94,0.66,0.73,0.98
46,0.5,0.63,0.94,0.67,0.74,0.98
47,0.5,0.63,0.94,0.67,0.74,0.98
48,0.51,0.65,0.94,0.68,0.75,0.98
49,0.51,0.66,0.94,0.68,0.75,0.98
50,0.51,0.66,0.94,0.69,0.76,0.98
51,0.52,0.66,0.94,0.7,0.77,0.98
52,0.53,0.67,0.94,0.71,0.77,0.98
53,0.55,0.68,0.95,0.71,0.77,0.99
54,0.56,0.69,0.95,0.72,0.78,0.99
55,0.56,0.7,0.96,0.73,0.79,0.99
56,0.57,0.71,0.96,0.74,0.8,0.99
57,0.58,0.72,0.97,0.75,0.8,0.99
58,0.58,0.72,0.97,0.75,0.81,0.99
59,0.59,0.73,0.97,0.76,0.82,0.99
60,0.6,0.73,0.98,0.78,0.83,1.0
61,0.62,0.75,0.99,0.78,0.84,1.0
62,0.63,0.76,0.99,0.79,0.85,1.0
63,0.63,0.78,0.99,0.8,0.85,1.0
64,0.64,0.79,0.99,0.81,0.86,1.0
65,0.66,0.8,1.0,0.82,0.86,1.0
66,0.67,0.81,1.0,0.84,0.87,1.0
67,0.7,0.83,1.0,0.85,0.89,1.0
68,0.73,0.85,1.0,0.86,0.9,1.0
69,0.74,0.86,1.0,0.87,0.9,1.0
70,0.76,0.87,1.0,0.9,0.92,1.0
71,0.79,0.89,1.0,0.94,0.94,1.0
72,0.82,0.91,1.0,0.96,0.97,1.0
73,0.85,0.94,1.0,0.96,0.98,1.0
74,0.91,0.97,1.0,0.99,1.0,1.0
75,1.0,1.0,1.0,1.0,1.0,1.0
total_days,309.0,,,,,
