bar_index,prob_high_set_exact,prob_low_set_exact,prob_either_set_exact,prob_high_set_offset_10,prob_low_set_offset_10,prob_either_set_offset_10
1,0.45,0.01,0.46,0.54,0.13,0.66
2,0.46,0.11,0.57,0.55,0.29,0.8
3,0.46,0.14,0.6,0.56,0.33,0.84
4,0.48,0.15,0.63,0.57,0.35,0.85
5,0.48,0.18,0.65,0.57,0.36,0.86
6,0.48,0.19,0.66,0.58,0.36,0.87
7,0.49,0.2,0.69,0.6,0.38,0.89
8,0.5,0.21,0.71,0.6,0.39,0.89
9,0.51,0.23,0.74,0.6,0.41,0.9
10,0.52,0.26,0.76,0.61,0.43,0.92
11,0.52,0.26,0.76,0.61,0.44,0.92
12,0.52,0.29,0.78,0.63,0.47,0.93
13,0.53,0.31,0.8,0.63,0.48,0.93
14,0.54,0.32,0.81,0.63,0.48,0.93
15,0.54,0.32,0.81,0.64,0.5,0.93
16,0.54,0.32,0.81,0.64,0.52,0.93
17,0.55,0.33,0.81,0.64,0.53,0.93
18,0.55,0.35,0.81,0.64,0.53,0.93
19,0.55,0.37,0.83,0.64,0.55,0.93
20,0.55,0.38,0.83,0.64,0.55,0.93
21,0.55,0.4,0.83,0.64,0.56,0.94
22,0.56,0.4,0.83,0.65,0.56,0.94
23,0.56,0.4,0.83,0.65,0.58,0.95
24,0.56,0.4,0.83,0.65,0.59,0.95
25,0.56,0.43,0.84,0.65,0.6,0.95
26,0.56,0.43,0.84,0.65,0.6,0.95
27,0.56,0.45,0.85,0.67,0.6,0.96
28,0.57,0.45,0.86,0.67,0.62,0.96
29,0.57,0.47,0.87,0.67,0.65,0.97
30,0.57,0.47,0.87,0.68,0.65,0.97
31,0.57,0.48,0.87,0.68,0.66,0.97
32,0.57,0.48,0.87,0.68,0.66,0.97
33,0.58,0.5,0.88,0.68,0.66,0.97
34,0.58,0.5,0.89,0.68,0.66,0.97
35,0.58,0.51,0.91,0.68,0.67,0.98
36,0.58,0.52,0.91,0.68,0.67,0.98
37,0.58,0.52,0.91,0.68,0.69,0.99
38,0.59,0.57,0.93,0.68,0.69,0.99
39,0.59,0.58,0.93,0.68,0.69,0.99
40,0.59,0.58,0.94,0.69,0.69,0.99
41,0.59,0.58,0.94,0.7,0.69,0.99
42,0.59,0.58,0.94,0.7,0.7,0.99
43,0.59,0.59,0.94,0.7,0.7,0.99
44,0.61,0.61,0.96,0.7,0.7,0.99
45,0.61,0.63,0.96,0.7,0.7,0.99
46,0.62,0.63,0.96,0.7,0.73,0.99
47,0.62,0.65,0.96,0.7,0.73,0.99
48,0.62,0.65,0.96,0.7,0.73,0.99
49,0.62,0.65,0.96,0.7,0.73,0.99
50,0.62,0.65,0.96,0.72,0.73,0.99
51,0.62,0.67,0.96,0.72,0.73,0.99
52,0.62,0.67,0.96,0.73,0.74,1.0
53,0.63,0.67,0.96,0.74,0.75,1.0
54,0.64,0.69,0.98,0.74,0.75,1.0
55,0.65,0.71,0.99,0.76,0.76,1.0
56,0.65,0.71,0.99,0.76,0.77,1.0
57,0.65,0.72,0.99,0.76,0.77,1.0
58,0.65,0.73,0.99,0.76,0.8,1.0
59,0.65,0.74,0.99,0.77,0.8,1.0
60,0.65,0.75,0.99,0.77,0.81,1.0
61,0.66,0.77,0.99,0.8,0.82,1.0
62,0.68,0.77,0.99,0.8,0.82,1.0
63,0.69,0.78,0.99,0.81,0.85,1.0
64,0.7,0.79,0.99,0.81,0.85,1.0
65,0.7,0.8,1.0,0.81,0.85,1.0
66,0.71,0.81,1.0,0.83,0.86,1.0
67,0.73,0.82,1.0,0.83,0.88,1.0
68,0.73,0.85,1.0,0.83,0.88,1.0
69,0.73,0.86,1.0,0.85,0.91,1.0
70,0.79,0.87,1.0,0.88,0.92,1.0
71,0.8,0.88,1.0,0.93,0.93,1.0
72,0.81,0.89,1.0,0.95,0.96,1.0
73,0.84,0.93,1.0,0.97,0.96,1.0
74,0.92,0.95,1.0,0.99,0.98,1.0
75,1.0,1.0,1.0,1.0,1.0,1.0
total_days,113.0,,,,,
