bar_index,prob_high_set_exact,prob_low_set_exact,prob_either_set_exact,prob_high_set_offset_10,prob_low_set_offset_10,prob_either_set_offset_10
1,0.01,0.42,0.43,0.15,0.51,0.65
2,0.09,0.43,0.5,0.26,0.51,0.74
3,0.12,0.43,0.53,0.28,0.51,0.75
4,0.15,0.43,0.55,0.29,0.52,0.75
5,0.17,0.44,0.58,0.29,0.54,0.77
6,0.18,0.45,0.6,0.31,0.55,0.8
7,0.21,0.46,0.65,0.34,0.57,0.84
8,0.21,0.47,0.66,0.38,0.58,0.88
9,0.23,0.48,0.68,0.4,0.58,0.88
10,0.23,0.5,0.7,0.42,0.6,0.91
11,0.27,0.51,0.75,0.44,0.6,0.91
12,0.27,0.51,0.75,0.45,0.61,0.91
13,0.29,0.51,0.77,0.47,0.64,0.92
14,0.3,0.52,0.78,0.48,0.64,0.92
15,0.33,0.52,0.8,0.49,0.64,0.93
16,0.34,0.52,0.81,0.51,0.64,0.93
17,0.36,0.52,0.82,0.52,0.65,0.93
18,0.36,0.53,0.82,0.53,0.65,0.93
19,0.36,0.54,0.82,0.53,0.66,0.93
20,0.38,0.55,0.83,0.53,0.67,0.93
21,0.39,0.55,0.84,0.54,0.68,0.93
22,0.39,0.55,0.84,0.55,0.68,0.93
23,0.39,0.55,0.84,0.56,0.68,0.94
24,0.39,0.56,0.84,0.56,0.7,0.94
25,0.39,0.57,0.85,0.56,0.71,0.95
26,0.4,0.57,0.86,0.56,0.71,0.95
27,0.4,0.57,0.86,0.56,0.72,0.96
28,0.4,0.57,0.86,0.56,0.73,0.96
29,0.4,0.58,0.88,0.56,0.73,0.96
30,0.4,0.58,0.88,0.57,0.73,0.96
31,0.42,0.58,0.89,0.58,0.73,0.97
32,0.42,0.59,0.89,0.58,0.73,0.97
33,0.42,0.59,0.89,0.59,0.74,0.98
34,0.42,0.6,0.89,0.6,0.76,0.98
35,0.42,0.62,0.9,0.6,0.77,0.98
36,0.42,0.62,0.9,0.6,0.77,0.98
37,0.42,0.62,0.9,0.6,0.77,0.98
38,0.43,0.65,0.91,0.6,0.77,0.98
39,0.43,0.67,0.91,0.61,0.78,0.98
40,0.43,0.67,0.91,0.61,0.78,0.98
41,0.43,0.67,0.91,0.62,0.78,0.98
42,0.43,0.67,0.91,0.62,0.78,0.98
43,0.44,0.69,0.92,0.62,0.79,0.98
44,0.44,0.7,0.92,0.65,0.79,0.98
45,0.44,0.7,0.92,0.65,0.79,0.98
46,0.44,0.7,0.92,0.65,0.8,0.98
47,0.44,0.7,0.92,0.66,0.8,0.98
48,0.45,0.72,0.92,0.67,0.81,0.98
49,0.45,0.73,0.92,0.68,0.82,0.98
50,0.45,0.73,0.92,0.69,0.82,0.98
51,0.46,0.74,0.92,0.69,0.82,0.98
52,0.48,0.74,0.93,0.69,0.83,0.98
53,0.51,0.74,0.94,0.69,0.83,0.98
54,0.51,0.74,0.94,0.72,0.84,0.98
55,0.51,0.74,0.94,0.72,0.84,0.98
56,0.53,0.75,0.95,0.72,0.85,0.98
57,0.54,0.75,0.96,0.73,0.85,0.98
58,0.56,0.75,0.97,0.74,0.85,0.99
59,0.57,0.75,0.97,0.75,0.85,0.99
60,0.58,0.75,0.97,0.76,0.86,1.0
61,0.6,0.75,0.98,0.76,0.86,1.0
62,0.61,0.76,0.98,0.77,0.86,1.0
63,0.61,0.77,0.98,0.78,0.88,1.0
64,0.61,0.79,0.99,0.81,0.88,1.0
65,0.62,0.79,0.99,0.82,0.88,1.0
66,0.65,0.79,0.99,0.84,0.89,1.0
67,0.68,0.82,0.99,0.88,0.9,1.0
68,0.74,0.83,1.0,0.88,0.9,1.0
69,0.75,0.84,1.0,0.88,0.9,1.0
70,0.78,0.85,1.0,0.9,0.9,1.0
71,0.78,0.89,1.0,0.94,0.94,1.0
72,0.8,0.92,1.0,0.95,0.97,1.0
73,0.83,0.96,1.0,0.95,0.99,1.0
74,0.9,0.98,1.0,0.99,1.0,1.0
75,1.0,1.0,1.0,1.0,1.0,1.0
total_days,96.0,,,,,
