bar_index,prob_high_set_exact,prob_low_set_exact,prob_either_set_exact,prob_high_set_offset_10,prob_low_set_offset_10,prob_either_set_offset_10
1,0.18,0.26,0.43,0.22,0.37,0.58
2,0.23,0.3,0.52,0.27,0.4,0.66
3,0.27,0.32,0.58,0.32,0.41,0.71
4,0.29,0.36,0.63,0.35,0.44,0.77
5,0.3,0.38,0.67,0.38,0.46,0.81
6,0.32,0.4,0.69,0.38,0.48,0.82
7,0.32,0.43,0.72,0.39,0.49,0.84
8,0.33,0.43,0.73,0.4,0.5,0.85
9,0.33,0.44,0.74,0.4,0.5,0.85
10,0.35,0.46,0.76,0.42,0.51,0.87
11,0.37,0.46,0.78,0.43,0.52,0.9
12,0.38,0.46,0.79,0.43,0.52,0.9
13,0.38,0.47,0.8,0.43,0.53,0.9
14,0.39,0.48,0.81,0.45,0.53,0.91
15,0.41,0.48,0.82,0.46,0.53,0.91
16,0.42,0.49,0.82,0.47,0.54,0.91
17,0.43,0.49,0.83,0.47,0.54,0.91
18,0.44,0.49,0.85,0.49,0.54,0.93
19,0.46,0.49,0.85,0.49,0.55,0.93
20,0.47,0.49,0.87,0.5,0.57,0.94
21,0.48,0.51,0.89,0.51,0.57,0.95
22,0.48,0.51,0.9,0.52,0.57,0.96
23,0.49,0.52,0.9,0.53,0.57,0.96
24,0.49,0.52,0.9,0.54,0.58,0.96
25,0.49,0.53,0.9,0.54,0.58,0.96
26,0.49,0.54,0.9,0.54,0.6,0.96
27,0.49,0.54,0.9,0.54,0.6,0.96
28,0.49,0.56,0.93,0.54,0.6,0.97
29,0.5,0.56,0.93,0.54,0.6,0.97
30,0.5,0.56,0.93,0.54,0.6,0.97
31,0.5,0.56,0.93,0.54,0.61,0.98
32,0.51,0.56,0.93,0.54,0.61,0.98
33,0.51,0.57,0.93,0.54,0.62,0.98
34,0.51,0.57,0.93,0.54,0.62,0.98
35,0.51,0.57,0.93,0.54,0.62,0.98
36,0.51,0.57,0.93,0.55,0.62,0.98
37,0.51,0.57,0.93,0.55,0.63,0.98
38,0.51,0.57,0.93,0.56,0.64,0.99
39,0.51,0.59,0.94,0.57,0.65,0.99
40,0.53,0.6,0.95,0.57,0.65,0.99
41,0.53,0.6,0.95,0.58,0.65,0.99
42,0.54,0.61,0.96,0.58,0.65,0.99
43,0.55,0.61,0.97,0.6,0.65,0.99
44,0.57,0.61,0.98,0.6,0.65,0.99
45,0.57,0.61,0.98,0.62,0.67,0.99
46,0.58,0.61,0.98,0.63,0.67,0.99
47,0.58,0.61,0.98,0.63,0.67,0.99
48,0.6,0.62,0.98,0.65,0.68,1.0
49,0.62,0.62,0.99,0.66,0.68,1.0
50,0.62,0.62,0.99,0.67,0.68,1.0
51,0.62,0.63,0.99,0.68,0.69,1.0
52,0.64,0.63,0.99,0.69,0.69,1.0
53,0.65,0.63,1.0,0.7,0.69,1.0
54,0.66,0.64,1.0,0.7,0.69,1.0
55,0.67,0.64,1.0,0.7,0.69,1.0
56,0.67,0.64,1.0,0.7,0.7,1.0
57,0.67,0.65,1.0,0.71,0.71,1.0
58,0.67,0.66,1.0,0.74,0.71,1.0
59,0.68,0.67,1.0,0.74,0.71,1.0
60,0.7,0.68,1.0,0.75,0.73,1.0
61,0.7,0.68,1.0,0.76,0.74,1.0
62,0.71,0.7,1.0,0.78,0.77,1.0
63,0.74,0.7,1.0,0.79,0.79,1.0
64,0.75,0.72,1.0,0.81,0.81,1.0
65,0.77,0.74,1.0,0.83,0.82,1.0
66,0.77,0.74,1.0,0.83,0.82,1.0
67,0.78,0.75,1.0,0.83,0.85,1.0
68,0.8,0.77,1.0,0.85,0.86,1.0
69,0.82,0.81,1.0,0.85,0.9,1.0
70,0.82,0.85,1.0,0.87,0.91,1.0
71,0.84,0.88,1.0,0.91,0.92,1.0
72,0.88,0.9,1.0,0.95,0.94,1.0
73,0.9,0.9,1.0,0.97,0.97,1.0
74,0.94,0.95,1.0,0.99,0.99,1.0
75,1.0,1.0,1.0,1.0,1.0,1.0
total_days,136.0,,,,,
