bar_index,prob_high_set_exact,prob_low_set_exact,prob_either_set_exact,prob_high_set_offset_10,prob_low_set_offset_10,prob_either_set_offset_10
1,0.05,0.29,0.34,0.15,0.36,0.52
2,0.12,0.3,0.42,0.23,0.37,0.6
3,0.14,0.31,0.44,0.27,0.4,0.67
4,0.19,0.33,0.52,0.31,0.42,0.71
5,0.21,0.36,0.57,0.33,0.43,0.74
6,0.25,0.37,0.62,0.34,0.43,0.75
7,0.27,0.37,0.64,0.35,0.43,0.76
8,0.27,0.37,0.64,0.35,0.44,0.77
9,0.27,0.38,0.65,0.36,0.44,0.77
10,0.28,0.39,0.67,0.37,0.45,0.77
11,0.29,0.4,0.69,0.38,0.48,0.78
12,0.31,0.41,0.7,0.38,0.49,0.8
13,0.31,0.41,0.7,0.4,0.49,0.8
14,0.32,0.42,0.73,0.42,0.49,0.81
15,0.32,0.43,0.73,0.44,0.5,0.81
16,0.34,0.44,0.73,0.44,0.52,0.82
17,0.35,0.44,0.75,0.45,0.53,0.84
18,0.36,0.46,0.77,0.47,0.54,0.86
19,0.39,0.47,0.79,0.49,0.54,0.88
20,0.4,0.48,0.79,0.49,0.56,0.89
21,0.4,0.48,0.79,0.49,0.57,0.9
22,0.41,0.49,0.81,0.49,0.58,0.9
23,0.42,0.49,0.82,0.51,0.58,0.91
24,0.42,0.5,0.82,0.52,0.59,0.93
25,0.43,0.51,0.83,0.52,0.6,0.94
26,0.44,0.52,0.85,0.52,0.6,0.94
27,0.44,0.52,0.85,0.52,0.6,0.94
28,0.44,0.52,0.85,0.53,0.61,0.95
29,0.44,0.53,0.86,0.54,0.62,0.95
30,0.48,0.54,0.89,0.56,0.62,0.96
31,0.48,0.56,0.89,0.57,0.64,0.96
32,0.48,0.56,0.9,0.57,0.64,0.96
33,0.48,0.56,0.9,0.59,0.64,0.96
34,0.49,0.57,0.9,0.59,0.65,0.96
35,0.49,0.57,0.9,0.59,0.65,0.96
36,0.5,0.6,0.9,0.6,0.66,0.97
37,0.52,0.6,0.91,0.62,0.66,0.97
38,0.52,0.6,0.91,0.63,0.67,0.97
39,0.52,0.6,0.91,0.63,0.67,0.97
40,0.52,0.6,0.91,0.63,0.68,0.97
41,0.52,0.6,0.91,0.63,0.69,0.97
42,0.52,0.6,0.91,0.65,0.69,0.97
43,0.52,0.62,0.92,0.65,0.69,0.97
44,0.54,0.62,0.93,0.65,0.69,0.97
45,0.54,0.63,0.93,0.65,0.7,0.97
46,0.55,0.63,0.94,0.66,0.7,0.97
47,0.55,0.64,0.94,0.66,0.72,0.97
48,0.55,0.64,0.94,0.66,0.72,0.97
49,0.56,0.65,0.94,0.66,0.73,0.97
50,0.56,0.66,0.94,0.66,0.75,0.98
51,0.56,0.69,0.95,0.66,0.77,0.98
52,0.56,0.71,0.96,0.66,0.77,0.98
53,0.56,0.71,0.97,0.68,0.77,0.98
54,0.57,0.71,0.97,0.68,0.78,0.98
55,0.58,0.72,0.98,0.69,0.79,0.98
56,0.59,0.73,0.98,0.69,0.81,0.98
57,0.59,0.74,0.98,0.69,0.81,0.98
58,0.6,0.74,0.98,0.71,0.81,0.98
59,0.62,0.75,0.98,0.73,0.81,0.98
60,0.65,0.76,0.98,0.75,0.82,0.99
61,0.68,0.77,0.98,0.77,0.85,0.99
62,0.69,0.77,0.98,0.77,0.85,0.99
63,0.7,0.78,0.98,0.77,0.86,0.99
64,0.71,0.81,0.98,0.79,0.88,1.0
65,0.73,0.83,1.0,0.82,0.89,1.0
66,0.73,0.85,1.0,0.85,0.9,1.0
67,0.75,0.86,1.0,0.86,0.9,1.0
68,0.77,0.86,1.0,0.86,0.91,1.0
69,0.77,0.87,1.0,0.86,0.91,1.0
70,0.78,0.91,1.0,0.88,0.94,1.0
71,0.8,0.91,1.0,0.93,0.94,1.0
72,0.81,0.93,1.0,0.98,0.94,1.0
73,0.83,0.95,1.0,0.98,0.97,1.0
74,0.93,0.97,1.0,1.0,0.98,1.0
75,1.0,1.0,1.0,1.0,1.0,1.0
total_days,124.0,,,,,
