bar_index,prob_high_set_exact,prob_low_set_exact,prob_either_set_exact,prob_high_set_offset_10,prob_low_set_offset_10,prob_either_set_offset_10
1,0.0,0.42,0.42,0.06,0.52,0.58
2,0.09,0.42,0.52,0.24,0.52,0.76
3,0.12,0.42,0.55,0.24,0.52,0.76
4,0.12,0.42,0.55,0.24,0.52,0.76
5,0.18,0.45,0.64,0.27,0.52,0.79
6,0.21,0.45,0.67,0.27,0.52,0.79
7,0.21,0.45,0.67,0.27,0.52,0.79
8,0.21,0.45,0.67,0.27,0.52,0.79
9,0.21,0.45,0.67,0.27,0.55,0.79
10,0.21,0.48,0.7,0.27,0.55,0.79
11,0.21,0.48,0.7,0.27,0.55,0.79
12,0.21,0.48,0.7,0.27,0.55,0.79
13,0.21,0.48,0.7,0.27,0.55,0.79
14,0.24,0.48,0.73,0.3,0.55,0.79
15,0.24,0.48,0.73,0.33,0.55,0.79
16,0.24,0.48,0.73,0.33,0.58,0.79
17,0.24,0.48,0.73,0.33,0.58,0.79
18,0.27,0.48,0.73,0.36,0.58,0.82
19,0.33,0.48,0.76,0.39,0.58,0.85
20,0.33,0.52,0.76,0.39,0.61,0.85
21,0.33,0.52,0.76,0.39,0.61,0.85
22,0.33,0.52,0.76,0.39,0.61,0.85
23,0.36,0.52,0.79,0.42,0.61,0.88
24,0.36,0.55,0.79,0.42,0.61,0.88
25,0.36,0.55,0.79,0.42,0.64,0.91
26,0.36,0.58,0.82,0.42,0.64,0.91
27,0.36,0.58,0.82,0.42,0.67,0.91
28,0.36,0.58,0.82,0.42,0.67,0.91
29,0.36,0.58,0.82,0.42,0.67,0.91
30,0.39,0.58,0.85,0.48,0.67,0.94
31,0.39,0.58,0.85,0.55,0.67,0.94
32,0.39,0.58,0.85,0.55,0.67,0.94
33,0.39,0.58,0.85,0.58,0.67,0.94
34,0.45,0.58,0.85,0.58,0.67,0.94
35,0.45,0.58,0.85,0.58,0.67,0.94
36,0.48,0.61,0.88,0.61,0.67,0.94
37,0.55,0.61,0.91,0.64,0.67,0.94
38,0.55,0.61,0.91,0.64,0.67,0.94
39,0.55,0.61,0.91,0.64,0.67,0.94
40,0.55,0.61,0.91,0.64,0.67,0.94
41,0.55,0.61,0.91,0.64,0.7,0.94
42,0.55,0.61,0.91,0.64,0.7,0.94
43,0.55,0.61,0.91,0.67,0.7,0.94
44,0.55,0.61,0.91,0.67,0.7,0.94
45,0.55,0.61,0.91,0.67,0.7,0.94
46,0.58,0.61,0.94,0.67,0.7,0.94
47,0.58,0.64,0.94,0.67,0.73,0.94
48,0.58,0.64,0.94,0.67,0.73,0.94
49,0.61,0.64,0.94,0.67,0.73,0.94
50,0.61,0.64,0.94,0.67,0.76,0.94
51,0.61,0.7,0.94,0.67,0.79,0.94
52,0.61,0.73,0.94,0.67,0.79,0.94
53,0.64,0.73,0.97,0.7,0.79,0.97
54,0.64,0.73,0.97,0.7,0.79,0.97
55,0.64,0.73,0.97,0.7,0.79,0.97
56,0.64,0.73,0.97,0.73,0.79,0.97
57,0.64,0.73,0.97,0.73,0.79,0.97
58,0.67,0.73,0.97,0.76,0.79,0.97
59,0.67,0.73,0.97,0.76,0.79,0.97
60,0.7,0.73,0.97,0.79,0.79,0.97
61,0.73,0.76,0.97,0.82,0.82,0.97
62,0.76,0.76,0.97,0.82,0.82,0.97
63,0.79,0.76,0.97,0.82,0.82,0.97
64,0.79,0.79,0.97,0.88,0.82,1.0
65,0.82,0.79,1.0,0.91,0.82,1.0
66,0.82,0.79,1.0,0.91,0.82,1.0
67,0.82,0.79,1.0,0.91,0.82,1.0
68,0.85,0.79,1.0,0.91,0.85,1.0
69,0.85,0.82,1.0,0.91,0.85,1.0
70,0.88,0.88,1.0,0.91,0.91,1.0
71,0.88,0.88,1.0,0.97,0.91,1.0
72,0.88,0.88,1.0,0.97,0.91,1.0
73,0.88,0.94,1.0,0.97,0.97,1.0
74,0.94,0.97,1.0,1.0,1.0,1.0
75,1.0,1.0,1.0,1.0,1.0,1.0
total_days,33.0,,,,,
